mining_company,Environmental,Social,Governance,total
Leopard Exploration & Mining Ltd,0,0,1,1
Zimplats,0,0,1,1
Zongi Mining,0,0,1,1
Zumran Mining and Exploration,0,1,0,1
KoBold Metals Resources,0,0,1,1
"['Barrick Gold', 'First Quantum Minerals']",0,0,1,1
"['Chibuluma Copper Mine', 'Chambishi Metals', 'Chambishi Copper Smelters', 'Luanshya Copper Mines', 'Lubambe Copper Mines', 'Lumwana Copper Mining', 'FQM', 'Sino Metals', 'NFCA Copper Mining Company', 'Konkola Copper Mines', 'Mopani Copper Mine']",0,0,1,1
KoBold Minerals,0,1,0,1
"['First Quantum Minerals', 'Barrick Gold Corp', 'Glencore']",1,0,0,1
"['First Quantum Minerals', 'Barrick Gold', 'Vedanta Resources', 'International Resources Holding']",0,0,1,1
Konkola Copper Mine Plc,0,1,0,1
"['First Quantum Minerals', 'Lubambe Copper Mine Limited', 'Glencore']",0,0,1,1
ZCCM-IH; Barrick Gold; Vedanta Resources; First Quantum Minerals; International Holding Company; Glencore,0,1,0,1
"['First Quantum Minerals', 'Vedanta Resources', 'Barrick Gold', 'Glencore Xstrata']",0,0,1,1
Al Mansour Holdings,0,1,0,1
African Women in Mining,0,1,0,1
African Potash PLC,0,1,0,1
"['First Quantum', 'Glencore', 'Vedanta Resources']",0,0,1,1
African Potash Limited,0,1,0,1
"['Konkola Copper Mines', 'Mopani Copper Mines', 'Chambishi Metals']",0,1,0,1
AfNat Resources Ltd,0,0,1,1
ARC Minerals; Anglo American,0,0,1,1
AFME Metal Exchange Limited,0,0,1,1
Zimbabwe Mining Development Corporation,0,0,1,1
Zhongui International Mining Industry Group Limited,0,0,1,1
Limeco Resources Ltd,0,1,0,1
Zed,0,1,0,1
ZCCM-IH; Delta Mining Limited; Vedanta Resources; Glencore,1,0,0,1
Kalahari Geo Energy,0,1,0,1
Barrick Gold Corporation; First Quantum Minerals; Vedanta Resources; Glencore,0,1,0,1
ZCCM-IH; Vedanta Resources; Glencore,0,0,1,1
ZCCM-Investment Holding,0,1,0,1
Lumwana Mining Company,0,0,1,1
Kalumbila Multipurpose Cooperative,0,1,0,1
Luiri Gold Mines,0,1,0,1
Axmin Inc.,0,0,1,1
AECI,1,0,0,1
"Lubambe Copper Mines; Chambishi Copper Smelter; Luanshya Copper Mines; Chibuluma Copper Mine; NFCA Copper Mining Company; Sino Metals; FQM (Kalumbila, Kansanshi); Lumwana Copper Mining; Konkola Copper Mine; Mopani Copper Mine; Chambishi Metals; Zambia Revenue Authority (ZRA)",0,0,1,1
Katros Mining Limited,0,0,1,1
Antler Exploration Zambia Limited,0,0,1,1
KoBold,1,0,0,1
Zambia Gold Company; Glencore,0,1,0,1
Zambia Railways; Africa Exploration Mining and Finance Corporation; Pan African Minerals Development Company; National Railways of Zimbabwe,0,0,1,1
Zambia consolidated Copper Mines Investment Holdings,0,1,0,1
Zambian High Light Mining Investment Ltd.,0,0,1,1
Zamsort,0,0,1,1
Zamsort Limited,0,1,0,1
Zamsort Limited and Arc Minerals,0,1,0,1
Vedanta Resources; Mopani Copper Mines,0,1,0,1
Midnight Sun Mining Corp; First Quantum Minerals,0,1,0,1
Jubilee Metals Holdings,1,0,0,1
Mwashia Resources Limited,0,0,1,1
First Quantum Minerals; Barrick Gold; Vedanta Resources; International Resources Holding,0,0,1,1
First Quantum Minerals; Barrick Gold; Anglo American; Ivanhoe Mines,0,0,1,1
First Quantum Minerals; Barrick Gold Corp; Glencore,1,0,0,1
SHI & YAN Mining Limited,0,1,0,1
First Quantum Minerals; Anglo American; Arc Minerals; KoBold Metals; Vedanta; Zambia Consolidated Copper Mines; Zijin Mining; Norinco Group; Sibanye-Stillwater; Glencore,0,0,1,1
Sacko,0,1,0,1
Sany,0,1,0,1
"First Quantum Minerals, Mimosa Resources",0,1,0,1
Hitachi Construction Machinery,0,1,0,1
Shanghai Metals Market,0,1,0,1
Hitachi Corporation,0,1,0,1
Shera Energy,0,1,0,1
Shi and Yan Mining Development Company,0,1,0,1
Indeni,0,1,0,1
Infinity Mining Limited,0,1,0,1
Eurasian Resources Group; Vedanta Resources; Glencore,0,1,0,1
Sino Great Chemical Company Limited; Wonderful Group of Companies Limited,0,1,0,1
Eskom,0,1,0,1
International Holdings Resources,0,1,0,1
Engineers and Planners,0,1,0,1
International Resources Holding Limited,0,1,0,1
Lafarge Zambia,0,1,0,1
Delta,0,0,1,1
Grant Thornton,0,0,1,1
Rhodes British South African Company,0,0,1,1
Intrepid Mines Ltd,0,0,1,1
Mwashia Resources Ltd,0,0,1,1
Getech Group PLC,0,0,1,1
Nkana Alloy and Smelting Company Limited,0,1,0,1
Geodrill,1,0,0,1
"Glencore, Vedanta Resources, First Quantum Minerals, Barrick Gold",0,0,1,1
Glencore; Barrick Gold; Vedanta Resources,0,0,1,1
Glencore; China Molybdenum; MMG; Chemaf; Ivanhoe Mines,1,0,0,1
Glencore; First Quantum Minerals; Vedanta Resources; Barrick Gold,0,1,0,1
Non-Ferrous Mining Company (CNFC),0,0,1,1
Omnia Holdings,0,0,1,1
Gecamines,0,0,1,1
Gatbro International Limited,0,0,1,1
Glencore; Katanga Mining; China Molybdenum; MMG; Chemaf; Ivanhoe Mines,1,0,0,1
Glencore; Vedanta Resources,0,0,1,1
Fujian Haian Rubber Company Limited,0,1,0,1
Patriot Lithium; Jubilee Metals; International Resource Holdings,0,1,0,1
Good Time Steel,0,1,0,1
Polytra Zambia Limited,0,1,0,1
Poseidon Company,0,1,0,1
First Quantum; KCM,0,0,1,1
First Quantum; Glencore; Barrick Gold; Vedanta Resources,0,1,0,1
Prophet Bushiri,0,1,0,1
Prospect Resources Limited,0,0,1,1
Mwembeshi Resource Company,0,0,1,1
Deep-South Resources Inc.,1,0,0,1
Ivanhoe Mines Ltd.,1,0,0,1
Jubilee Metals Group; International Resources Holding RSC,1,0,0,1
Tsodilo Resources Limited,0,1,0,1
Tullow Oil Plc,0,0,1,1
Jiangxi Bureau of Geology,0,1,0,1
Tullow Zambia BV,0,0,1,1
UNIVERSAL Mining and Chemical Industries Limited,0,1,0,1
Union Gold,0,1,0,1
Jiangxi Special Motor Company Limited,0,1,0,1
Jiangxi United Industrial Investment Limited,0,1,0,1
Jinan Diamond Mining Company,0,0,1,1
China Non-Ferrous Metals Africa Mining,0,1,0,1
Midnight Sun Mining Corporation,0,0,1,1
Vedanta Holdings,0,0,1,1
China Non-Ferrous Metal,0,1,0,1
China Non-Ferrous Corporation Africa,0,1,0,1
China Non Ferrous Metal Corporation,0,1,0,1
Vedanta Minerals,0,1,0,1
China National Building Material (CNBM),0,1,0,1
Midnight Sun Mining Corp; First Quantum,0,1,0,1
Jubilee Metals Group and BMR Group,0,0,1,1
Vedanta Resources Limited; Konkola Copper Mines Plc,0,1,0,1
China Civil Engineering Construction Corporation,0,1,0,1
Jubilee Metals Group; BMR Group,0,0,1,1
Metorex; CNMC Luanshya Copper Mines,0,1,0,1
Chevron,0,1,0,1
China Nonferrous Metal Mining,0,1,0,1
True stone Mineral Processing Limited,0,0,1,1
Dangote Cement,0,1,0,1
Trilogy Metals,1,0,0,1
Mopani Copper Mines; Konkola Copper Mines; Copperbelt Energy Company,0,1,0,1
Mopani Copper Mines; Konkola Copper Mines,0,0,1,1
Copperbelt Energy Corporation; Konkola Copper Mines,0,0,1,1
CopperTech Metals Inc.,0,0,1,1
Copernicus Minerals Limited,0,0,1,1
Sinoma Mpande Limestone Limited,0,1,0,1
Sinomine Resources,0,1,0,1
Continental Mining Africa,0,1,0,1
Connec Quarry Company,0,1,0,1
Column Coal Mining Limited,0,1,0,1
Spax Mining Limited,0,0,1,1
Statunga Investments Limited,0,0,1,1
Sterlite Industries,0,1,0,1
JCHX Mining; Barrick Gold; First Quantum Minerals; Vedanta Resources; International Resources Holding; KoBold Metals,0,0,1,1
Tanzania Zambia Railways Authority,0,1,0,1
Collum Coal Mining Industry Limited,0,1,0,1
Jewel of Africa,0,1,0,1
Tonawanda Procurement Ltd.,0,0,1,1
Tower Resources,0,0,1,1
China Nonferrous Metal Mining Corp,1,0,0,1
"Trafigura, Mota-Engil, Vecturis",0,1,0,1
China Nonferrous Metal Mining (Group) Co. Ltd,0,1,0,1
Trafigura; Mota-Engil; Vecturis,0,1,0,1
LM Engineering,0,0,1,1
