mining_company,Environmental,Social,Governance,total
ALP24,0,2,2,4
Konkola Copper Mines; Mopani,0,2,2,4
Mopani Mines,0,3,1,4
Mopani Copper Mines plc,0,1,3,4
Anglo American Plc,0,2,2,4
Nkandabbwe Colum Coal Enterprises Mine Limited,0,2,2,4
Zambian Consolidated Copper Mines,0,2,2,4
Anglo American; Rio Tinto,0,2,2,4
Oranto Petroleum,0,2,2,4
Limeco,0,2,2,4
Antler Gold Inc.,0,1,3,4
First Quantum; Glencore; Vedanta Resources,0,2,2,4
Xtract Resources,2,1,1,4
"China Nonferrous Metal Mining (Group) Co., Ltd.",1,3,0,4
China Nonferrous Metal Mining Group,1,2,1,4
Consolidated Gold Company Zambia,0,2,2,4
Makor Resources; Jubilee Metals; First Quantum Metals,0,2,2,4
Chambeshi Metals,0,2,2,4
China Non-Ferrous Metal Mining Group Company,0,2,2,4
Kagem Mining Ltd.,1,2,1,4
Mercuria Energy Group,0,2,2,4
CNMC,1,1,2,4
Tertiary Minerals PLC,2,0,2,4
Kafue Steel,0,4,0,4
Consolidated Nickel Mines,0,1,3,4
Vedanta; Barrick Gold; First Quantum Minerals; International Resources Holding; Glencore,0,2,2,4
Vendata,1,1,1,3
Mineral Commodities,1,1,1,3
JCHX Mining,0,1,2,3
Mopani Copper Mines PLC,0,2,1,3
Non-Ferrous Corporation Africa Mining PLC,0,2,1,3
Anglo American; Zambia Consolidated Copper Mines,1,1,1,3
KCM; Mopani,0,1,2,3
Mopani Copper Mine; Konkola Copper Mine; Non-Ferrous Copper Mine,1,1,1,3
Zambia Gold Company Limited,0,1,2,3
Raah Mining Company,1,1,1,3
GED Africa,1,1,1,3
Pan African Minerals Development Company,1,1,1,3
Ranging Mineral Processing Limited,1,1,1,3
Anglo American South Africa (AASA),1,1,1,3
First Quantum Minerals; Moxico Resources; Kobold Metals; Barrick Gold Corporation; China Nonferrous Mining Corporation; International Resources Holding; Vedanta Resources; Gemfields; Copperbelt Energy Company,1,1,1,3
Zambia Consolidated Copper Mines-Investment Holdings,0,2,1,3
Zambia Consolidated Copper Mines – Investment Holding,1,1,1,3
Anglo American South Africa Limited,1,1,1,3
Kansanshi Mine PLC,0,2,1,3
Kobold Metals,1,2,0,3
Leopard Exploration and Mining Limited,0,0,3,3
Konkola Copper Mining,1,1,1,3
Guoli Energy Zambia Limited,1,1,1,3
Grizzly Mining Limited,0,1,2,3
Chapamo Mining Limited,0,2,1,3
Chapamo Mineral Processing Limited,1,1,1,3
Grand Resources,1,1,1,3
"['Sino Metals Leach Zambia', 'NFC Africa Mining']",1,1,1,3
GoviEx Uranium Inc.; African Energy Resources Ltd.,0,0,3,3
Chapamo Mineral Processing Investments,1,1,1,3
African Rainbow Minerals; Vale,0,2,1,3
Anglo America,0,2,1,3
China Non-Ferrous Metals Mining Group,1,1,1,3
International Resources Holding RSC Ltd.,1,1,1,3
Anglo American Corporation,0,2,1,3
China Non-Ferrous Metal Mining Group Co,1,1,1,3
Nava Bharat Ventures Ltd,1,1,1,3
Nchanga Consolidated Copper Mines,3,0,0,3
"['First Quantum Minerals Ltd.', 'Barrick Gold Corp.', 'Vedanta Resources Ltd.']",1,1,1,3
Anglo American PLC,1,1,1,3
Nitrogen Chemicals of Zambia,0,2,1,3
Geological Survey of India,1,1,1,3
Rio Tinto,0,2,1,3
Nkana Alloys Limited,1,1,1,3
BMR Group PLC,0,0,3,3
Eurasian Resources Group,1,1,1,3
Sino Metal Tailings,1,1,1,3
Shuka Minerals Plc,1,1,1,3
FQM Kansanshi Mining Company,1,1,1,3
FIRST Quantum Minerals,1,1,1,3
Barrick Gold; Vedanta Resources; International Resources Holding; First Quantum Minerals; KoBold Metals; Mitsui,1,1,1,3
Cobalt International,1,1,1,3
Eurasian Resources Group; Vedanta Resources,1,1,1,3
Xtract Resources plc,1,1,1,3
Rongxing Investments,1,1,1,3
Collum Coal Mines,1,1,1,3
Luida,1,1,1,3
Sino-Metals Leach Sambia,1,1,1,3
KAGEM Mining Limited,1,1,1,3
Bezant Resources Plc,1,1,1,3
Barrick Mining Corp.,1,1,1,3
Jubilee Metals; Anglo American,1,1,1,3
Sino metals Leach Zambia limited,1,1,1,3
Sino Metals Leach Zambia Limited; NFC Africa Mining Limited,1,1,1,3
Column Coal,1,1,1,3
Superdeal Zinc,1,1,1,3
Sovereign Metals,1,1,1,3
"China Nonferrous Mining Corporation, Ltd.",1,1,1,3
Shuka Minerals PLC,0,0,3,3
Sino-Metals Leach Zambia Limited,1,1,1,3
BMR,1,1,1,3
CopperTech Metals,1,1,1,3
SANHE Mining Investment Company Limited,1,1,1,3
China Nonferrous Metals Industry Group,1,1,1,3
Cape Lambert Resources,2,0,1,3
China Nonferrous Mining Company,1,1,1,3
Jubilee Metals Group Plc,1,1,1,3
"First Quantum Minerals, Barrick Mining, China Nonferrous Mining",0,1,2,3
Austin Elements,1,1,1,3
KoBold Metals Zambia,1,1,1,3
Sino-Metals Leach Zambia; NFC Africa Mining,1,1,1,3
Sino-Metals; NFC Africa,1,1,1,3
Chapamo group of companies,1,1,1,3
First Quantum Mine,1,1,1,3
Shepherd Bushiri Mining Ltd,1,1,1,3
Lobito Atlantic Railway,1,1,1,3
Copperbelt Energy Corporation,2,1,0,3
Lumwana Mine Company,1,1,1,3
ZCCM IH,0,3,0,3
Mopani; Kansanshi,0,1,1,2
Lafarge; Ndola lime; Dangote cement,1,1,0,2
Maamba Energy Limited,1,1,0,2
"Mopani, Kalumbila, Kansanshi",0,1,1,2
Maamba collieries Limited,0,2,0,2
Mopani; KCM,0,1,1,2
Leopard Exploration and Mining,0,1,1,2
Makor Resources,0,1,1,2
Mopani; ZCCM-IH,0,1,1,2
Metalco Industries Company Limited,0,1,1,2
Mopani Mines PLC,0,1,1,2
Meteorex,0,1,1,2
Limeco Resources,0,1,1,2
Mimosa Resources,0,1,1,2
Mota-Engil,1,1,0,2
Lunga resources,0,1,1,2
Mopani Copper Mine Ltd,0,1,1,2
Luangwa Minerals Limited,0,1,1,2
Luanshya Copper Mines,0,1,1,2
Manara Minerals,0,1,1,2
Mopani Copper Mines Ltd,0,1,1,2
Lev Leviev; Wolle Mining Ltd,0,1,1,2
Lubambe Copper Mine,0,1,1,2
Lumwana Mine,0,1,1,2
Maamba Colleries,1,1,0,2
Mopani Copper Mines; Vedanta Resources,0,1,1,2
Metalex Africa Zambia Limited,1,1,0,2
Mopani Copper Mines; ZCCM Investment Holdings (ZCCM-IH),0,1,1,2
Mopani Mine,0,2,0,2
Mitsubishi Corporation,1,1,0,2
15th Metallurgical Construction Group,1,1,0,2
Moxico Resources Zambia,0,1,1,2
Vedanta; Glencore,0,1,1,2
"ZCCM-IH, Mopani",0,1,1,2
ZCCM-IH Gold Company,1,1,0,2
ZCCM Investments Holdings PLC,0,1,1,2
ZCCM Investments,0,1,1,2
ZCCM Investment,0,1,1,2
ZCCM Gold Company,0,1,1,2
ZCCM Gold,0,1,1,2
VedantaResources,0,1,1,2
Vedanta; ZCCM-IH,0,1,1,2
Vedanta; Sibanye-Stillwater; First Quantum Minerals; KoBold Metals; BHP,0,1,1,2
Vedanta; First Quantum Minerals; KCM; Mopani,0,1,1,2
Vedanta Limited,0,1,1,2
Vedanta; Barrick Gold Corp,0,1,1,2
"Vedanta, Glencore",0,1,1,2
"Vedanta, Barrick",0,1,1,2
Vedanta resources,0,1,1,2
Vedanta plc,0,1,1,2
Vedanta mineral resources,0,1,1,2
Vedanta Resources; ZCCM-IH,0,1,1,2
Vedanta Resources; Glencore; ZCCM Investments Holdings,0,1,1,2
Vedanta Resources; Glencore,0,1,1,2
Vedanta Resources Holding Ltd,0,1,1,2
ZCCM-IH; Karma Limited,0,1,1,2
ZCCM-IH; Karma Mining,0,1,1,2
Zambia Consolidated Copper Mine Investment Holdings,0,1,1,2
Zambia Consolidated Copper Mine Investments Holding,0,0,2,2
"['Trafigura', 'Ivanhoe Mines']",0,1,1,2
"['Sinomine Resources', 'Mimosa Resources', 'KoBold Metals', 'Kobaloni Energy', 'Vision Blue', 'Africa Finance Corporation', 'Terra Metals', 'Musamu Resources', 'Kabundi Resources', 'First Quantum Minerals', 'Mabiza Resources', 'Malaika Exploration', 'First Africa Metals', 'Antler Gold', 'x-RAM Traws', 'Maamba Collieries']",0,1,1,2
"['Sino Metals Leach', 'NFC Africa Mining']",0,1,1,2
"['Mopani', 'FQM', 'KCM']",0,1,1,2
"['Ivanhoe Mines', 'Galileo Resources', 'Tertiary Minerals', 'First Quantum', 'Vedanta Resources', 'Jubilee Metals', 'Xtract Resources']",1,1,0,2
"['Impala Platinum', 'Anglo American Platinum', 'Sibanye-Stillwater']",0,1,1,2
"['Glencore', 'Vedanta', 'First Quantum', 'African Barrick Gold']",0,1,1,2
"['First Quantum', 'Glencore', 'Barrick Gold', 'Vedanta Resources']",0,1,1,2
"['First Quantum', 'ERG', 'Vedanta', 'CNMC']",0,1,1,2
"['First Quantum Minerals', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals', 'Glencore', 'Barrick Gold', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals', 'EMR Capital', 'Glencore']",0,1,1,2
"['First Quantum Minerals', 'Barrick Gold']",0,1,1,2
"['First Quantum Minerals', 'Barrick Gold Corp', 'Glencore', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals Ltd.', 'Barrick Gold Corp.', 'Vedanta Resources Ltd.', 'International Resources Holding']",0,1,1,2
"['Barrick Gold Corporation', 'First Quantum Minerals']",0,1,1,2
Zed Copper,0,1,1,2
Zambia Gold Company,0,1,1,2
Zambia Consolidated Copper Mines Investments Holdings Plc,1,1,0,2
Zambia Consolidated Copper Mines Investment Holding,0,1,1,2
Zambia Consolidated Copper Mines	6Investment Holding,0,1,1,2
Vedanta Resource,0,0,2,2
Vedanta Africa Base Metals,0,1,1,2
Moxico Resources Zambia Limited,0,1,1,2
Nava Bharat Singapore,1,1,0,2
PDV Metals Limited,0,1,1,2
Oval Mining Limited,1,0,1,2
Opulent Wealthy Investments Limited; Zejun Investments Limited,1,0,1,2
Non-Ferrous Metals Mining Corporation,0,1,1,2
Non-Ferrous Cooperation Africa mining limited,0,1,1,2
Non-Ferrous Cooperation Africa,1,1,0,2
Non-Ferrous Company Africa Mining,0,1,1,2
Neelkanth,1,1,0,2
Ndola Lime Limited,0,1,1,2
Ndalumba Minerals Limited,0,1,1,2
Nashfreight and Transport Services CC,0,1,1,2
Vale Mocambique,0,1,1,2
NFCA Mining Plc.; Intrepid Resources; Sino Metals Leach Zambia Limited; Luiri,0,1,1,2
NFCA Mining,1,1,0,2
NFC Africa Mining Plc,0,2,0,2
NFC Africa Mining PLC,0,2,0,2
Mwombezhi Resources,0,0,2,2
Mwembeshi resources,0,1,1,2
Mwashia Resources,0,0,2,2
Mutinta Jewellery,0,1,1,2
Musamu Resources Limited,0,1,1,2
Moxico; Euro Africa; Xtract Resources; Hetro Mining; Lunga Minerals; KPZ International,0,1,1,2
Pensana,0,1,1,2
Powerful Diligent Veracious (PDV) Metals Limited,0,1,1,2
Precious Minerals Marketing Company,0,1,1,2
Raah Mining Company; Gemcanton Investments Holdings,0,1,1,2
Universal Mining and Chemical Industries limited,1,1,0,2
Universal Mining & Chemical Industries Limited,0,1,1,2
Tullow Oil,0,1,1,2
Trafigura; Kamoa-Kakula,1,1,0,2
Tertiary Minerals plc,0,0,2,2
Tata,1,1,0,2
Taifa Group,0,1,1,2
TIGER RESOURCES LTD,0,1,1,2
Spax Mining,0,1,1,2
Sinoma Cement; Chilanga Cement,0,1,1,2
Sino Metals Leach; NFC Africa Mining,0,1,1,2
Sibanye Stillwater,0,0,2,2
Shera Zambia Limited,0,1,1,2
Sasol,0,1,1,2
Sacko Mining Limited,0,1,1,2
Sabi Company,0,1,1,2
Rudra Copper Limited,1,1,0,2
Rio Tinto; First Quantum,1,1,0,2
Rift Petroleum; Tullow Oil PLC,0,1,1,2
Rhodesian Anglo American Corporation,0,1,1,2
Reliant Mines,0,1,1,2
Lafarge Zambia Plc,0,1,1,2
Kansanshi Mining Plc; Barrick; First Quantum Minerals,0,1,1,2
Discovery Minerals Ltd,2,0,0,2
Copperbelt Energy Corporation Plc,0,1,1,2
FQM Trident Limited,1,0,1,2
Euro Africa Kalengwa Mining Limited,0,1,1,2
Eurasian Resources Group; Vedanta Resources; Glencore; First Quantum Minerals; Barrick Gold,0,1,1,2
